id,gridcode,gridname,countycode,countyname,citycode,cityname
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,BBWG0054,静海西北网格,BB,静海分公司,0022,天津市
20,BBWG0054,静海西北网格,BB,静海分公司,0022,天津市
21,,,,,,
22,,,,,,
23,,,,,,
24,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
25,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
26,,,,,,
27,,,,,,
28,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
29,,,,,,
30,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
31,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
32,,,,,,
33,,,,,,
34,,,,,,
35,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
36,,,,,,
37,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
38,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
39,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
40,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
47,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
48,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
49,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
50,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
51,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
52,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
53,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
54,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
55,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
56,,,,,,
57,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
58,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
59,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
60,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
61,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
62,,,,,,
63,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
64,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
65,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
66,BBWG0054,静海西北网格,BB,静海分公司,0022,天津市
67,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
68,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
69,,,,,,
70,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
71,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
72,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
73,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
74,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
75,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
76,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
77,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
78,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
79,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
80,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
81,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
82,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
83,BBWG0054,静海西北网格,BB,静海分公司,0022,天津市
84,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
85,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
86,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
87,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
88,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
89,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
90,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
91,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
92,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
93,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
94,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
95,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
96,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
97,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
98,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
99,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
100,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
101,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
102,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
103,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
104,,,,,,
105,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
106,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
107,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
108,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
109,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
110,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
111,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
112,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
113,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
114,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
115,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
116,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
117,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
118,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
119,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
120,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
121,,,,,,
122,BBWG0054,静海西北网格,BB,静海分公司,0022,天津市
123,BBWG0054,静海西北网格,BB,静海分公司,0022,天津市
124,,,,,,
125,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
126,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
127,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
128,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
129,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
130,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
131,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
132,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
133,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
134,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
135,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
136,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
137,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
138,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
139,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
140,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
141,BBWG0051,静海城区网格,BB,静海分公司,0022,天津市
142,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
143,B8WG0048,武清东北片区,B8,武清分公司,0022,天津市
144,B8WG0048,武清东北片区,B8,武清分公司,0022,天津市
145,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
146,B8WG0048,武清东北片区,B8,武清分公司,0022,天津市
147,B8WG0048,武清东北片区,B8,武清分公司,0022,天津市
148,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
149,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
150,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
151,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
152,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
153,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
154,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
155,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
156,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
157,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
158,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
159,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
160,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
161,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
162,,,,,,
163,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
164,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
165,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
166,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
167,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
168,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
169,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
170,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
171,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
172,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
173,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
174,B8WG0049,武清西北片区,B8,武清分公司,0022,天津市
175,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
176,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
177,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
178,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
179,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
180,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
181,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
182,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
183,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
184,B5WG0015,西青杨柳青网格,B5,西青分公司,0022,天津市
185,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
186,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
187,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
188,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
189,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
190,,,,,,
191,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
192,B8WG0048,武清东北片区,B8,武清分公司,0022,天津市
193,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
194,,,,,,
195,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
196,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
197,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
198,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
199,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
200,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
201,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
202,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
203,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
204,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
205,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
206,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
207,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
208,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
209,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
210,B5WG0020,西青张家窝辛口,B5,西青分公司,0022,天津市
211,B8WG0047,武清西南片区,B8,武清分公司,0022,天津市
212,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
213,BBWG0057,静海南区网格,BB,静海分公司,0022,天津市
214,BBWG0057,静海南区网格,BB,静海分公司,0022,天津市
215,BBWG0057,静海南区网格,BB,静海分公司,0022,天津市
216,BBWG0057,静海南区网格,BB,静海分公司,0022,天津市
217,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
218,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
219,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
220,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
221,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
222,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
223,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
224,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
225,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
226,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
227,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
228,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
229,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
230,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
231,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
232,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
233,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
234,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
235,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
236,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
237,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
238,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
239,B8WG0043,武清东南片区,B8,武清分公司,0022,天津市
240,B8WG0043,武清东南片区,B8,武清分公司,0022,天津市
241,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
242,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
243,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
244,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
245,B8WG0045,武清中心片区,B8,武清分公司,0022,天津市
246,B8WG0043,武清东南片区,B8,武清分公司,0022,天津市
247,B8WG0043,武清东南片区,B8,武清分公司,0022,天津市
248,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
249,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
250,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
251,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
252,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
253,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
254,,,,,,
255,,,,,,
256,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
257,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
258,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
259,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
260,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
261,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
262,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
263,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
264,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
265,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
266,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
267,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
268,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
269,B8WG0043,武清东南片区,B8,武清分公司,0022,天津市
270,B8WG0043,武清东南片区,B8,武清分公司,0022,天津市
271,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
272,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
273,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
274,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
275,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
276,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
277,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
278,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
279,B8WG0048,武清东北片区,B8,武清分公司,0022,天津市
280,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
281,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
282,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
283,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
284,B8WG0048,武清东北片区,B8,武清分公司,0022,天津市
285,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
286,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
287,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
288,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
289,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
290,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
291,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
292,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
293,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
294,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
295,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
296,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
297,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
298,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
299,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
300,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
301,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
302,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
303,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
304,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
305,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
306,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
307,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
308,,,,,,
309,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
310,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
311,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
312,B7WG0036,北辰双街双口青光镇网格,B7,北辰分公司,0022,天津市
313,B7WG0032,北辰天穆镇网格,B7,北辰分公司,0022,天津市
314,B7WG0032,北辰天穆镇网格,B7,北辰分公司,0022,天津市
315,B8WG0043,武清东南片区,B8,武清分公司,0022,天津市
316,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
317,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
318,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
319,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
320,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
321,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
322,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
323,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
324,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
325,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
326,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
327,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
328,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
329,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
330,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
331,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
332,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
333,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
334,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
335,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
336,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
337,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
338,B7WG0032,北辰天穆镇网格,B7,北辰分公司,0022,天津市
339,B7WG0030,北仓镇,B7,北辰分公司,0022,天津市
340,B7WG0030,北仓镇,B7,北辰分公司,0022,天津市
341,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
342,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
343,B8WG0048,武清东北片区,B8,武清分公司,0022,天津市
344,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
345,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
346,B7WG0032,北辰天穆镇网格,B7,北辰分公司,0022,天津市
347,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
348,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
349,B7WG0032,北辰天穆镇网格,B7,北辰分公司,0022,天津市
350,B2WG0029,南开2,B2,南开红桥分公司,0022,天津市
351,B8WG0048,武清东北片区,B8,武清分公司,0022,天津市
352,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
353,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
354,B7WG0030,北仓镇,B7,北辰分公司,0022,天津市
355,B7WG0030,北仓镇,B7,北辰分公司,0022,天津市
356,,,,,,
357,B2WG0028,南开1,B2,南开红桥分公司,0022,天津市
358,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
359,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
360,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
361,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
362,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
363,B2WG0028,南开1,B2,南开红桥分公司,0022,天津市
364,B5WG0016,中北西营门,B5,西青分公司,0022,天津市
365,B7WG0030,北仓镇,B7,北辰分公司,0022,天津市
366,B7WG0030,北仓镇,B7,北辰分公司,0022,天津市
367,B7WG0032,北辰天穆镇网格,B7,北辰分公司,0022,天津市
368,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
369,,,,,,
370,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
371,,,,,,
372,B8WG0043,武清东南片区,B8,武清分公司,0022,天津市
373,BBWG0057,静海南区网格,BB,静海分公司,0022,天津市
374,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
375,B7WG0032,北辰天穆镇网格,B7,北辰分公司,0022,天津市
376,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
377,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
378,,,,,,
379,B7WG0032,北辰天穆镇网格,B7,北辰分公司,0022,天津市
380,B7WG0032,北辰天穆镇网格,B7,北辰分公司,0022,天津市
381,B5WG0018,西青精武李七庄,B5,西青分公司,0022,天津市
382,B2WG0028,南开1,B2,南开红桥分公司,0022,天津市
383,B2WG0028,南开1,B2,南开红桥分公司,0022,天津市
384,B2WG0028,南开1,B2,南开红桥分公司,0022,天津市
385,BBWG0056,静海东区网格,BB,静海分公司,0022,天津市
386,B2WG0028,南开1,B2,南开红桥分公司,0022,天津市
387,B2WG0028,南开1,B2,南开红桥分公司,0022,天津市
388,B2WG0029,南开2,B2,南开红桥分公司,0022,天津市
389,B2WG0035,红桥1,B2,南开红桥分公司,0022,天津市
390,B2WG0028,南开1,B2,南开红桥分公司,0022,天津市
391,B2WG0029,南开2,B2,南开红桥分公司,0022,天津市
392,B2WG0029,南开2,B2,南开红桥分公司,0022,天津市
393,B2WG0029,南开2,B2,南开红桥分公司,0022,天津市
